ID_station;station_name;month;value;type
16010;Belles Feuilles - Place de Mexico;Janvier;840;departure
16011;Victor Hugo - La Pompe;Janvier;2217;departure
16012;Flandrin - Longchamp;Janvier;;departure
16013;Mairie du 16ème;Janvier;1105;departure
16014;Eylau - Trocadéro;Janvier;1794;departure
16015;Bassano -  Iéna;Janvier;772;departure
16016;Paul Doumer - La Tour;Janvier;1608;departure
16017;Siam - La Pompe;Janvier;853;departure
16018;Flandrin - Henri Martin;Janvier;695;departure
16019;Porte de la Muette;Janvier;884;departure
16020;Place de la Porte de Passy;Janvier;1280;departure
16021;François Ponsard - La Muette;Janvier;1311;departure
16022;Jean Bologne - Passy;Janvier;666;departure
16023;Passy - Place du Costa Rica;Janvier;2732;departure
16024;Ranelagh - Maison de la Radio;Janvier;1586;departure
16025;Jean de la Fontaine - Boulainvilliers;Janvier;2596;departure
16026;Ranelagh - Mozart;Janvier;2369;departure
16027;Mozart - Jasmin;Janvier;1136;departure
16029;Maison de Radio - France;Janvier;1653;departure
16030;Place de Barcelone - Mirabeau;Janvier;2708;departure
16031;Vignes - Boulainvilliers;Janvier;1153;departure
16032;Eglise d'Auteuil;Janvier;1648;departure
16033;Marché d'Auteuil;Janvier;1216;departure
16034;Porte d'Auteuil;Janvier;1453;departure
16036;Porte Molitor;Janvier;2771;departure
16037;Molitor - Michel-Ange;Janvier;1237;departure
16038;Molitor - Chardon-Lagache;Janvier;939;departure
16039;Exelmans - Versailles;Janvier;1786;departure
16040;Exelmans - Michel-Ange;Janvier;1145;departure
16041;Versailles - Claude Terrasse;Janvier;1935;departure
16042;Murat - Porte de Saint-Cloud;Janvier;2372;departure
16043;Place de Passy;Janvier;1418;departure
16044;Porte de Saint Cloud - Parc des Princes;Janvier;1207;departure
16101;Malakoff - Place de la Porte Maillot;Janvier;561;departure
16102;Pergolèse - Marbeau;Janvier;629;departure
16103;Traktir - Foch;Janvier;803;departure
16104;Paul Valery - Victor Hugo;Janvier;789;departure
16105;Crevaux - Bugeaud;Janvier;480;departure
16107;Benjamin Godard - Victor Hugo;Janvier;1155;departure
16108;Sablons - Georges Mandel;Janvier;582;departure
16110;Octave Feuillet - Albéric Magnard;Janvier;505;departure
16111;Faustin Hélie - Desbordes-Valmore;Janvier;531;departure
16112;Chernoviz - Raynouard;Janvier;652;departure
16115;Raffet - Montmorency;Janvier;816;departure
16116;George Sand - Jean de La Fontaine;Janvier;1153;departure
16118;Michel-Ange - Parent de Rosan;Janvier;732;departure
16121;Jardin d'Acclimatation;Janvier;679;departure
16122;Route de la Muette - Porte de Neuilly;Janvier;721;departure
16123;Mahatma Gandhi;Janvier;243;departure
16124;Route de Sèvres - Porte de Bagatelle;Janvier;830;departure
16129;Ceinture du Lac Inferieure - Saint-Cloud;Janvier;566;departure
16136;Théophile Gautier - François Millet;Janvier;1189;departure
16138;Saint-Cloud - Hippodrome;Janvier;788;departure
16139;Suresnes - Muette à Neuilly;Janvier;693;departure
17001;Guy Môquet - Saint-Ouen;Janvier;3120;departure
17003;Jacques Kellner - Saint-Ouen;Janvier;1936;departure
17004;Legendre - Clichy;Janvier;3956;departure
17005;Brochant - Clichy;Janvier;2581;departure
17006;Guy Môquet - Compoint;Janvier;1845;departure
17007;Navier - Epinettes;Janvier;1314;departure
17008;Porte Pouchet-Bessières;Janvier;1780;departure
17009;Paul Bodin - Clichy;Janvier;1491;departure
17010;Jonquière - Docteur Paul Brousse;Janvier;2109;departure
17011;Fragonard - Porte de Clichy;Janvier;3969;departure
17012;Mairie du 17ème;Janvier;2204;departure
17013;Legendre - Dulong;Janvier;1867;departure
17015;Place de Lévis;Janvier;2052;departure
17016;Brochant - Square des Batignolles;Janvier;1951;departure
17017;Gare de Pont-Cardinet;Janvier;2825;departure
17018;Parc Monceau;Janvier;1335;departure
17019;Phalsbourg - Villiers;Janvier;1840;departure
17020;Jouffroy d'Abbans - Malesherbes;Janvier;2831;departure
17021;Jouffroy d'Abbans - Villiers;Janvier;1338;departure
17022;Pereire - Place de Wagram;Janvier;1335;departure
17023;Porte d'Asnières;Janvier;2843;departure
